  R-R p5_e3:p5_e3-eth5  Δtx=10796 B  Δrx=1050387 B
  R-R p5_a5:p5_a5-eth3  Δtx=1050387 B  Δrx=10796 B
  R-R p5_e3:p5_e3-eth6  Δtx=2083262 B  Δrx=2060568 B
  R-R p5_a6:p5_a6-eth3  Δtx=2060568 B  Δrx=2083262 B
  R-R p5_e3:p5_e3-eth7  Δtx=1029293 B  Δrx=212 B
  R-R p5_a7:p5_a7-eth3  Δtx=212 B  Δrx=1029293 B
  R-R p6_e0:p6_e0-eth4  Δtx=12288 B  Δrx=21462 B
  R-R p6_a4:p6_a4-eth0  Δtx=21462 B  Δrx=12288 B
  R-R p6_e0:p6_e0-eth5  Δtx=192 B  Δrx=360 B
  R-R p6_a5:p6_a5-eth0  Δtx=360 B  Δrx=192 B
  R-R p6_e0:p6_e0-eth6  Δtx=4129044 B  Δrx=2082918 B
  R-R p6_a6:p6_a6-eth0  Δtx=2082918 B  Δrx=4129044 B
  R-R p6_e0:p6_e0-eth7  Δtx=21400 B  Δrx=2059958 B
  R-R p6_a7:p6_a7-eth0  Δtx=2059958 B  Δrx=21400 B
  R-R p6_e1:p6_e1-eth4  Δtx=1039593 B  Δrx=10124 B
  R-R p6_a4:p6_a4-eth1  Δtx=10124 B  Δrx=1039593 B
  R-R p6_e1:p6_e1-eth5  Δtx=1053069 B  Δrx=4118004 B
  R-R p6_a5:p6_a5-eth1  Δtx=4118004 B  Δrx=1053069 B
  R-R p6_e1:p6_e1-eth6  Δtx=1042643 B  Δrx=21044 B
  R-R p6_a6:p6_a6-eth1  Δtx=21044 B  Δrx=1042643 B
  R-R p6_e1:p6_e1-eth7  Δtx=1030609 B  Δrx=12298 B
  R-R p6_a7:p6_a7-eth1  Δtx=12298 B  Δrx=1030609 B
  R-R p6_e2:p6_e2-eth4  Δtx=2070530 B  Δrx=1040073 B
  R-R p6_a4:p6_a4-eth2  Δtx=1040073 B  Δrx=2070530 B
  R-R p6_e2:p6_e2-eth5  Δtx=1028819 B  Δrx=2080842 B
  R-R p6_a5:p6_a5-eth2  Δtx=2080842 B  Δrx=1028819 B
  R-R p6_e2:p6_e2-eth6  Δtx=1026995 B  Δrx=1029365 B
  R-R p6_a6:p6_a6-eth2  Δtx=1029365 B  Δrx=1026995 B
  R-R p6_e2:p6_e2-eth7  Δtx=31188 B  Δrx=9014 B
  R-R p6_a7:p6_a7-eth2  Δtx=9014 B  Δrx=31188 B
  R-R p6_e3:p6_e3-eth4  Δtx=1054503 B  Δrx=1038963 B
  R-R p6_a4:p6_a4-eth3  Δtx=1038963 B  Δrx=1054503 B
  R-R p6_e3:p6_e3-eth5  Δtx=1047325 B  Δrx=10136 B
  R-R p6_a5:p6_a5-eth3  Δtx=10136 B  Δrx=1047325 B
  R-R p6_e3:p6_e3-eth6  Δtx=2057380 B  Δrx=2070930 B
  R-R p6_a6:p6_a6-eth3  Δtx=2070930 B  Δrx=2057380 B
  R-R p6_e3:p6_e3-eth7  Δtx=138 B  Δrx=1038661 B
  R-R p6_a7:p6_a7-eth3  Δtx=1038661 B  Δrx=138 B
  R-R p7_e0:p7_e0-eth4  Δtx=21346 B  Δrx=148 B
  R-R p7_a4:p7_a4-eth0  Δtx=148 B  Δrx=21346 B
  R-R p7_e0:p7_e0-eth5  Δtx=2058406 B  Δrx=11450 B
  R-R p7_a5:p7_a5-eth0  Δtx=11450 B  Δrx=2058406 B
  R-R p7_e0:p7_e0-eth6  Δtx=1052053 B  Δrx=4128804 B
  R-R p7_a6:p7_a6-eth0  Δtx=4128804 B  Δrx=1052053 B
  R-R p7_e0:p7_e0-eth7  Δtx=1031577 B  Δrx=21466 B
  R-R p7_a7:p7_a7-eth0  Δtx=21466 B  Δrx=1031577 B
  R-R p7_e1:p7_e1-eth4  Δtx=2070348 B  Δrx=1041663 B
  R-R p7_a4:p7_a4-eth1  Δtx=1041663 B  Δrx=2070348 B
  R-R p7_e1:p7_e1-eth5  Δtx=1030311 B  Δrx=1031105 B
  R-R p7_a5:p7_a5-eth1  Δtx=1031105 B  Δrx=1030311 B
  R-R p7_e1:p7_e1-eth6  Δtx=1048917 B  Δrx=1053487 B
  R-R p7_a6:p7_a6-eth1  Δtx=1053487 B  Δrx=1048917 B
  R-R p7_e1:p7_e1-eth7  Δtx=12256 B  Δrx=1041675 B
  R-R p7_a7:p7_a7-eth1  Δtx=1041675 B  Δrx=12256 B
  R-R p7_e2:p7_e2-eth4  Δtx=10226 B  Δrx=2059500 B
  R-R p7_a4:p7_a4-eth2  Δtx=2059500 B  Δrx=10226 B
  R-R p7_e2:p7_e2-eth5  Δtx=22254 B  Δrx=1039477 B
  R-R p7_a5:p7_a5-eth2  Δtx=1039477 B  Δrx=22254 B
  R-R p7_e2:p7_e2-eth6  Δtx=1029241 B  Δrx=1037563 B
  R-R p7_a6:p7_a6-eth2  Δtx=1037563 B  Δrx=1029241 B
  R-R p7_e2:p7_e2-eth7  Δtx=3095457 B  Δrx=22144 B
  R-R p7_a7:p7_a7-eth2  Δtx=22144 B  Δrx=3095457 B
  R-R p7_e3:p7_e3-eth4  Δtx=10322 B  Δrx=1041295 B
  R-R p7_a4:p7_a4-eth3  Δtx=1041295 B  Δrx=10322 B
  R-R p7_e3:p7_e3-eth5  Δtx=10136 B  Δrx=1036997 B
  R-R p7_a5:p7_a5-eth3  Δtx=1036997 B  Δrx=10136 B
  R-R p7_e3:p7_e3-eth6  Δtx=2071356 B  Δrx=2057380 B
  R-R p7_a6:p7_a6-eth3  Δtx=2057380 B  Δrx=2071356 B
  R-R p7_e3:p7_e3-eth7  Δtx=2066112 B  Δrx=22246 B
  R-R p7_a7:p7_a7-eth3  Δtx=22246 B  Δrx=2066112 B
  R-R p0_a4:p0_a4-eth4  Δtx=3112491 B  Δrx=2085032 B
  R-R c0:c0-eth0  Δtx=2085032 B  Δrx=3112491 B
  R-R p0_a4:p0_a4-eth5  Δtx=0 B  Δrx=0 B
  R-R c1:c1-eth0  Δtx=0 B  Δrx=0 B
  R-R p0_a4:p0_a4-eth6  Δtx=0 B  Δrx=0 B
  R-R c2:c2-eth0  Δtx=0 B  Δrx=0 B
  R-R p0_a4:p0_a4-eth7  Δtx=0 B  Δrx=0 B
  R-R c3:c3-eth0  Δtx=0 B  Δrx=0 B
  R-R p0_a5:p0_a5-eth4  Δtx=0 B  Δrx=0 B
  R-R c4:c4-eth0  Δtx=0 B  Δrx=0 B
  R-R p0_a5:p0_a5-eth5  Δtx=3120625 B  Δrx=3144019 B
  R-R c5:c5-eth0  Δtx=3144019 B  Δrx=3120625 B
  R-R p0_a5:p0_a5-eth6  Δtx=0 B  Δrx=0 B
  R-R c6:c6-eth0  Δtx=0 B  Δrx=0 B
  R-R p0_a5:p0_a5-eth7  Δtx=0 B  Δrx=0 B
  R-R c7:c7-eth0  Δtx=0 B  Δrx=0 B
  R-R p0_a6:p0_a6-eth4  Δtx=0 B  Δrx=0 B
  R-R c8:c8-eth0  Δtx=0 B  Δrx=0 B
  R-R p0_a6:p0_a6-eth5  Δtx=0 B  Δrx=0 B
  R-R c9:c9-eth0  Δtx=0 B  Δrx=0 B
  R-R p0_a6:p0_a6-eth6  Δtx=5196431 B  Δrx=5202911 B
  R-R c10:c10-eth0  Δtx=5202911 B  Δrx=5196431 B
  R-R p0_a6:p0_a6-eth7  Δtx=0 B  Δrx=0 B
  R-R c11:c11-eth0  Δtx=0 B  Δrx=0 B
  R-R p0_a7:p0_a7-eth4  Δtx=0 B  Δrx=0 B
  R-R c12:c12-eth0  Δtx=0 B  Δrx=0 B
  R-R p0_a7:p0_a7-eth5  Δtx=0 B  Δrx=0 B
  R-R c13:c13-eth0  Δtx=0 B  Δrx=0 B
  R-R p0_a7:p0_a7-eth6  Δtx=0 B  Δrx=0 B
  R-R c14:c14-eth0  Δtx=0 B  Δrx=0 B
  R-R p0_a7:p0_a7-eth7  Δtx=5221403 B  Δrx=6220020 B
  R-R c15:c15-eth0  Δtx=6220020 B  Δrx=5221403 B
  R-R p1_a4:p1_a4-eth4  Δtx=2084604 B  Δrx=3157643 B
  R-R c0:c0-eth1  Δtx=3157643 B  Δrx=2084604 B
  R-R p1_a4:p1_a4-eth5  Δtx=0 B  Δrx=0 B
  R-R c1:c1-eth1  Δtx=0 B  Δrx=0 B
  R-R p1_a4:p1_a4-eth6  Δtx=0 B  Δrx=0 B
